player_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,so,g_idp,BB,SAC,TB,XBH,AVG,OBP,SLG,OPS
aardsda01,331,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
aaronha01,3298,12364.0,2174.0,3771.0,624.0,98.0,755.0,2297.0,240.0,73.0,1383.0,328.0,1727.0,142.0,6856.0,1477.0,0.305,0.386,0.555,0.941
aaronto01,437,944.0,102.0,216.0,42.0,6.0,13.0,94.0,9.0,8.0,145.0,36.0,89.0,15.0,309.0,61.0,0.229,0.291,0.327,0.618
aasedo01,448,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abadan01,15,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0,0.0,2.0,0.0,0.095,0.24,0.095,0.335
abadfe01,258,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.125,0.125,0.125,0.25
abadijo01,12,49.0,4.0,11.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,0.224,0.224,0.224,0.448
abbated01,855,3044.0,355.0,772.0,99.0,43.0,11.0,324.0,142.0,0.0,16.0,0.0,322.0,93.0,990.0,153.0,0.254,0.316,0.325,0.641
abbeybe01,79,225.0,21.0,38.0,3.0,3.0,0.0,17.0,3.0,0.0,54.0,0.0,21.0,4.0,47.0,6.0,0.169,0.236,0.209,0.445
abbeych01,451,1751.0,307.0,492.0,67.0,46.0,19.0,280.0,93.0,0.0,105.0,0.0,190.0,18.0,708.0,132.0,0.281,0.348,0.404,0.752
abbotda01,3,7.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.143,0.143,0.429,0.572
abbotfr01,160,513.0,48.0,107.0,21.0,6.0,1.0,49.0,14.0,0.0,0.0,0.0,27.0,20.0,143.0,28.0,0.209,0.239,0.279,0.518
