,seasons_played,All-Star,TripleCrown,MVP,CYA,3000H,500HR,1500RBI,3000K,300W,300SV,g,ab,r,h,double,triple,hr,rbi,sb,cs,so,g_idp,BB,SAC,TB,XBH,AVG,OBP,SLG,OPS,inducted
ripkeca01,21.0,19.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3001.0,11551.0,1647.0,3184.0,603.0,44.0,431.0,1695.0,36.0,39.0,1305.0,350.0,1302.0,137.0,5168.0,1078.0,0.276,0.345,0.447,0.792,1.0
cobbty01,24.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3035.0,11434.0,2246.0,4189.0,724.0,295.0,117.0,1937.0,892.0,178.0,357.0,0.0,1343.0,295.0,5854.0,1136.0,0.366,0.423,0.512,0.935,1.0
brettge01,21.0,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2707.0,10349.0,1583.0,3154.0,665.0,137.0,317.0,1595.0,201.0,97.0,908.0,235.0,1358.0,146.0,5044.0,1119.0,0.305,0.381,0.48700000000000004,0.868,1.0
aaronha01,23.0,25.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3298.0,12364.0,2174.0,3771.0,624.0,98.0,755.0,2297.0,240.0,73.0,1383.0,328.0,1727.0,142.0,6856.0,1477.0,0.305,0.386,0.555,0.941,1.0
gwynnto01,20.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2440.0,9288.0,1383.0,3141.0,543.0,85.0,135.0,1138.0,319.0,125.0,434.0,260.0,1017.0,130.0,4259.0,763.0,0.33799999999999997,0.39799999999999996,0.45899999999999996,0.857,1.0
schmimi01,18.0,12.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2404.0,8352.0,1506.0,2234.0,408.0,59.0,548.0,1595.0,174.0,92.0,1883.0,156.0,1787.0,124.0,4404.0,1015.0,0.267,0.392,0.527,0.919,1.0
benchjo01,17.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2158.0,7658.0,1091.0,2048.0,381.0,24.0,389.0,1376.0,68.0,43.0,1278.0,201.0,1045.0,101.0,3644.0,794.0,0.267,0.35100000000000003,0.47600000000000003,0.8270000000000001,1.0
ruthba01,22.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2503.0,8398.0,2174.0,2873.0,506.0,136.0,714.0,2217.0,123.0,117.0,1330.0,2.0,2105.0,113.0,5793.0,1356.0,0.342,0.469,0.69,1.159,1.0
wagneho01,21.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2792.0,10430.0,1736.0,3415.0,640.0,252.0,101.0,1732.0,722.0,15.0,327.0,0.0,1088.0,221.0,4862.0,993.0,0.327,0.384,0.466,0.85,1.0
henderi01,29.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3081.0,10961.0,2295.0,3055.0,510.0,66.0,297.0,1115.0,1406.0,335.0,1694.0,172.0,2349.0,97.0,4588.0,873.0,0.27899999999999997,0.40299999999999997,0.419,0.8220000000000001,1.0
mayswi01,23.0,24.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2992.0,10881.0,2062.0,3283.0,523.0,140.0,660.0,1903.0,338.0,103.0,1526.0,251.0,1700.0,104.0,6066.0,1323.0,0.302,0.39299999999999996,0.557,0.95,1.0
yastrca01,23.0,18.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3308.0,11988.0,1816.0,3419.0,646.0,59.0,452.0,1844.0,168.0,116.0,1393.0,323.0,2075.0,118.0,5539.0,1157.0,0.285,0.387,0.462,0.8490000000000001,1.0
jacksre01,21.0,14.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2820.0,9864.0,1551.0,2584.0,463.0,49.0,563.0,1702.0,228.0,115.0,2597.0,183.0,1635.0,81.0,4834.0,1075.0,0.262,0.364,0.49,0.8540000000000001,1.0
willite01,19.0,19.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2292.0,7706.0,1798.0,2654.0,525.0,71.0,521.0,1839.0,24.0,17.0,709.0,197.0,2146.0,25.0,4884.0,1117.0,0.344,0.486,0.634,1.12,1.0
musiast01,22.0,24.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3026.0,10972.0,1949.0,3630.0,725.0,177.0,475.0,1951.0,78.0,31.0,696.0,243.0,1779.0,88.0,6134.0,1377.0,0.331,0.42100000000000004,0.5589999999999999,0.98,1.0
robinbr01,23.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2896.0,10654.0,1232.0,2848.0,482.0,68.0,268.0,1357.0,28.0,22.0,990.0,297.0,1033.0,215.0,4270.0,818.0,0.267,0.326,0.401,0.727,1.0
boggswa01,18.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2440.0,9180.0,1513.0,3010.0,578.0,61.0,118.0,1014.0,24.0,35.0,745.0,236.0,1615.0,125.0,4064.0,757.0,0.32799999999999996,0.424,0.44299999999999995,0.867,1.0
smithoz01,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2573.0,9396.0,1257.0,2460.0,402.0,69.0,28.0,793.0,580.0,148.0,589.0,167.0,1184.0,277.0,3084.0,499.0,0.262,0.336,0.32799999999999996,0.664,1.0
