player_id,seasons_played,All-Star,TripleCrown,MVP,CYA,3000H,500HR,1500RBI,3000K,300W,300SV
seaveto01,22.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0
ryanno01,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
ripkeca01,21.0,19.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
cobbty01,24.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
brettge01,21.0,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
aaronha01,23.0,25.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
gwynnto01,20.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
johnsra05,24.0,10.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0
maddugr01,25.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0
schmimi01,18.0,12.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
benchjo01,17.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carltst01,27.0,10.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0
ruthba01,22.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
wagneho01,21.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
henderi01,29.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mayswi01,23.0,24.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
yastrca01,23.0,18.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
fellebo01,18.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jacksre01,21.0,14.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
willite01,19.0,19.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
musiast01,22.0,24.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
palmeji01,19.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
robinbr01,23.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glavito02,22.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
boggswa01,18.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
smithoz01,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
martipe02,18.0,8.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
mathech01,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
carewro01,19.0,18.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
alomaro01,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robinfr02,22.0,14.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
dimagjo01,13.0,13.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
kalinal01,22.0,18.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
mantlmi01,18.0,20.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
ottme01,22.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hubbeca01,16.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
koufasa01,12.0,7.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
roberro01,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heilmha01,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
snidedu01,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lyonste01,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
larkiba01,19.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gossari01,23.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sislege01,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
willibi01,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berrayo01,19.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
murraed02,23.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
molitpa01,21.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
greenha01,13.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medwijo01,20.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aparilu01,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
friscfr01,19.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
winfida01,23.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
gibsobo01,17.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
bankser01,19.0,14.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
