player_id,w,l,g,cg,sho,sv,ipouts,h,er,hr,so,BB,ERA,WHIP,BAA,K/9,BB/9,K/BB,VOTE%,inducted
aardsda01,16,18,331,0,0,69,1011.0,296,160,41,340,221.0,4.27,1.534,0.24100000000000002,9.08,5.9,1.54,0.0,0.0
aasedo01,66,60,448,22,5,82,3328.0,1085,468,89,641,509.0,3.8,1.4369999999999998,0.257,5.2,4.13,1.26,0.0,0.0
abadfe01,5,20,258,0,0,0,682.0,220,94,32,193,94.0,3.72,1.381,0.256,7.64,3.72,2.05,0.0,0.0
abbeybe01,22,40,79,52,0,1,1704.0,686,285,18,161,192.0,4.52,1.546,-3.573,2.55,3.04,0.84,0.0,0.0
abbotda01,0,2,3,1,0,1,39.0,19,9,0,1,8.0,6.23,2.077,-2.375,0.69,5.54,0.12,0.0,0.0
abbotji01,87,108,263,31,6,0,5022.0,1779,791,154,888,682.0,4.25,1.47,0.272,4.77,3.67,1.3,0.025193798449612403,0.0
abbotky01,4,17,57,0,0,0,556.0,207,107,26,124,81.0,5.2,1.554,0.282,6.02,3.93,1.53,0.0,0.0
abbotpa01,43,37,162,1,0,0,2162.0,682,394,101,496,431.0,4.92,1.544,0.249,6.19,5.38,1.15,0.0,0.0
aberal01,24,25,168,7,0,14,1168.0,398,181,29,169,176.0,4.18,1.474,0.261,3.91,4.07,0.96,0.0,0.0
abernbi01,0,0,1,0,0,1,6.0,4,3,1,0,1.0,13.5,2.5,0.444,0.0,4.5,0.0,0.0,0.0
abernte01,0,3,7,1,0,0,61.0,31,25,0,13,17.0,11.07,2.3609999999999998,0.344,5.75,7.52,0.76,0.0,0.0
abernte02,63,69,681,7,2,148,3443.0,1010,441,70,765,717.0,3.46,1.505,0.23800000000000002,6.0,5.62,1.07,0.0,0.0
abernwo01,1,1,16,0,0,1,126.0,36,17,5,6,11.0,3.64,1.119,0.235,1.29,2.36,0.55,0.0,0.0
ablesha01,1,5,14,4,0,0,214.0,79,32,1,41,31.0,4.04,1.5419999999999998,0.527,5.17,3.91,1.32,0.0,0.0
abramge01,0,0,3,0,0,0,14.0,10,5,0,1,3.0,9.64,2.786,0.47600000000000003,1.93,5.79,0.33,0.0,0.0
abregjo01,1,1,6,0,0,0,72.0,32,17,3,13,13.0,6.38,1.875,0.33299999999999996,4.88,4.88,1.0,0.0,0.0
abreuwi01,0,1,38,0,0,0,133.0,57,36,10,38,23.0,7.31,1.805,0.315,7.71,4.67,1.65,0.0,0.0
accarje01,10,20,262,0,0,38,854.0,288,136,24,205,136.0,4.3,1.489,0.27,6.48,4.3,1.51,0.0,0.0
aceveal01,31,16,204,0,0,29,1141.0,333,162,48,282,163.0,3.83,1.304,0.235,6.67,3.86,1.73,0.0,0.0
acevejo01,18,25,104,1,0,1,1105.0,420,235,71,253,139.0,5.74,1.518,0.28800000000000003,6.18,3.4,1.82,0.0,0.0
aceveju01,28,40,367,0,0,53,1710.0,597,274,72,350,288.0,4.33,1.5530000000000002,0.27399999999999997,5.53,4.55,1.22,0.0,0.0
ackerji01,33,49,467,0,0,30,2713.0,918,399,82,482,401.0,3.97,1.459,0.265,4.8,3.99,1.2,0.0,0.0
ackerto01,19,13,153,5,1,8,1141.0,365,174,43,256,187.0,4.12,1.4509999999999998,0.253,6.06,4.43,1.37,0.0,0.0
acklefr01,1,0,5,0,0,0,58.0,17,9,4,17,11.0,4.19,1.4480000000000002,0.233,7.91,5.12,1.55,0.0,0.0
acostcy01,13,9,107,0,0,27,558.0,143,55,15,109,97.0,2.66,1.29,0.213,5.27,4.69,1.12,0.0,0.0
acosted01,6,9,57,3,1,1,413.0,153,62,12,70,51.0,4.05,1.482,0.282,4.58,3.33,1.37,0.0,0.0
acostjo01,10,10,55,6,1,4,640.0,265,107,9,45,68.0,4.51,1.561,0.304,1.9,2.87,0.66,0.0,0.0
acostma01,13,13,233,0,0,9,744.0,234,110,30,219,135.0,3.99,1.4880000000000002,0.254,7.95,4.9,1.62,0.0,0.0
adamsac01,41,33,302,2,0,49,1658.0,541,213,26,171,232.0,3.47,1.399,0.252,2.78,3.78,0.74,0.0,0.0
adamsau01,2,0,34,0,0,1,121.0,46,21,3,27,14.0,4.69,1.4880000000000002,0.282,6.02,3.12,1.93,0.0,0.0
adamsba01,194,140,482,206,44,15,8986.0,2841,917,68,1036,477.0,2.76,1.1079999999999999,0.248,3.11,1.43,2.17,0.13664596273291926,0.0
adamsbo01,0,0,2,0,0,0,17.0,10,5,1,1,3.0,7.94,2.294,0.4,1.59,4.76,0.33,0.0,0.0
adamsbo02,0,1,5,0,0,0,36.0,21,7,0,5,3.0,5.25,2.0,0.368,3.75,2.25,1.67,0.0,0.0
adamsda01,4,11,47,6,0,3,513.0,182,71,5,54,73.0,3.74,1.4909999999999999,0.36200000000000004,2.84,3.84,0.74,0.0,0.0
adamsjo01,0,0,1,0,0,0,12.0,9,4,0,0,3.0,9.0,3.0,-3.0,0.0,6.75,0.0,0.0,0.0
adamsjo02,5,6,44,0,0,0,331.0,121,60,19,77,46.0,4.89,1.514,0.276,6.28,3.75,1.67,0.0,0.0
adamska01,1,9,30,3,0,0,345.0,119,64,5,62,50.0,5.01,1.47,0.263,4.85,3.91,1.24,0.0,0.0
adamsmi01,0,4,11,0,0,0,76.0,28,21,3,14,24.0,7.46,2.053,0.28600000000000003,4.97,8.53,0.58,0.0,0.0
adamsmi03,21,20,408,0,0,4,1222.0,316,109,33,409,144.0,2.41,1.129,0.212,9.04,3.18,2.84,0.0,0.0
adamsre01,0,1,8,0,0,0,36.0,18,11,1,8,7.0,8.25,2.083,0.34600000000000003,6.0,5.25,1.14,0.0,0.0
adamsri01,2,5,11,3,1,0,188.0,63,25,1,25,32.0,3.59,1.516,-1.969,3.59,4.6,0.78,0.0,0.0
adamste01,51,62,574,0,0,42,2608.0,890,403,63,691,430.0,4.17,1.518,0.267,7.15,4.45,1.61,0.0,0.0
adamswi01,8,16,65,8,0,2,853.0,303,138,8,74,163.0,4.37,1.639,0.282,2.34,5.16,0.45,0.0,0.0
adcocna01,2,6,56,0,0,1,369.0,126,57,14,80,68.0,4.17,1.577,0.272,5.85,4.98,1.18,0.0,0.0
adkinde01,2,4,38,1,0,0,297.0,114,62,10,47,50.0,5.64,1.6569999999999998,0.284,4.27,4.55,0.94,0.0,0.0
adkindo01,1,1,6,1,0,1,81.0,40,15,2,3,13.0,5.0,1.963,1.6669999999999998,1.0,4.33,0.23,0.0,0.0
adkingr01,12,27,67,19,0,1,1089.0,403,175,24,78,163.0,4.34,1.5590000000000002,0.275,1.93,4.04,0.48,0.0,0.0
adkinjo01,5,5,119,0,0,0,416.0,155,70,18,81,69.0,4.54,1.615,0.29600000000000004,5.26,4.48,1.17,0.0,0.0
affelje01,43,46,774,0,0,28,2778.0,904,408,76,720,479.0,3.97,1.494,0.259,7.0,4.66,1.5,0.0,0.0
agostju01,40,33,543,0,0,29,1879.0,639,279,30,307,325.0,4.01,1.5390000000000001,0.268,4.41,4.67,0.94,0.0,0.0
aguilri01,86,81,732,10,0,318,3874.0,1233,512,138,1030,429.0,3.57,1.287,0.249,7.18,2.99,2.4,0.00576923076923077,0.0
aguirha01,75,72,447,44,9,33,4127.0,1216,496,123,856,561.0,3.24,1.2919999999999998,0.233,5.6,3.67,1.53,0.0,0.0
ainswku01,6,8,29,0,0,0,380.0,136,73,16,90,69.0,5.19,1.618,0.278,6.39,4.9,1.3,0.0,0.0
aitchra01,12,12,34,10,3,0,619.0,193,69,7,101,72.0,3.01,1.284,0.24100000000000002,4.41,3.14,1.4,0.0,0.0
akerfda01,9,10,125,1,0,3,701.0,216,132,36,129,156.0,5.08,1.5919999999999999,0.242,4.97,6.01,0.83,0.0,0.0
akerja01,47,45,495,0,0,123,2238.0,679,272,64,404,382.0,3.28,1.422,0.24600000000000002,4.87,4.61,1.06,0.0,0.0
akersje01,1,1,5,0,0,0,61.0,24,11,1,11,17.0,4.87,2.016,0.3,4.87,7.52,0.65,0.0,0.0
albercy01,1,2,4,2,0,0,83.0,35,19,1,10,20.0,6.18,1.9880000000000002,0.33,3.25,6.51,0.5,0.0,0.0
alberma01,27,31,394,0,0,0,1658.0,551,258,53,389,284.0,4.2,1.511,0.266,6.33,4.62,1.37,0.0,0.0
albosed01,0,8,19,0,0,0,158.0,52,36,4,24,44.0,6.15,1.8230000000000002,0.252,4.1,7.52,0.55,0.0,0.0
albreed01,1,1,3,1,0,0,35.0,7,7,0,2,11.0,5.4,1.5430000000000001,0.171,1.54,8.49,0.18,0.0,0.0
alburvi01,18,17,101,6,1,1,1118.0,338,170,36,193,239.0,4.11,1.548,0.243,4.66,5.77,0.81,0.0,0.0
alcalsa01,14,11,68,3,1,2,748.0,257,132,25,140,136.0,4.76,1.5759999999999998,0.266,5.05,4.91,1.03,0.0,0.0
alderda01,0,1,16,0,0,0,107.0,52,26,4,11,12.0,6.56,1.794,0.33299999999999996,2.78,3.03,0.92,0.0,0.0
aldresc01,20,39,229,1,0,1,1499.0,581,334,78,312,269.0,6.02,1.7009999999999998,0.29100000000000004,5.62,4.85,1.16,0.0,0.0
aldrija01,6,5,62,0,0,2,326.0,119,57,12,46,51.0,4.72,1.564,0.281,3.81,4.22,0.9,0.0,0.0
aldrivi01,97,80,248,102,8,6,4802.0,1671,668,87,526,551.0,3.76,1.3880000000000001,0.265,2.96,3.1,0.95,0.0,0.0
alexabo01,1,1,9,0,0,0,33.0,18,13,0,2,11.0,10.64,2.636,0.391,1.64,9.0,0.18,0.0,0.0
alexado01,194,174,561,98,18,3,10103.0,3376,1406,324,1528,1091.0,3.76,1.3259999999999998,0.258,4.08,2.92,1.4,0.0,0.0
alexape01,373,208,696,437,90,32,15570.0,4868,1476,164,2198,1021.0,2.56,1.135,0.245,3.81,1.77,2.15,0.8091603053435115,1.0
alfonan01,35,37,592,0,0,129,1839.0,677,280,55,400,317.0,4.11,1.6219999999999999,0.287,5.87,4.65,1.26,0.0,0.0
allenbo03,0,1,3,0,0,0,36.0,18,9,2,8,8.0,6.75,2.167,0.321,6.0,6.0,1.0,0.0,0.0
allenbo04,7,12,204,0,0,19,822.0,288,125,23,199,164.0,4.11,1.65,0.27,6.54,5.39,1.21,0.0,0.0
allenfr01,50,67,180,60,10,3,2911.0,893,316,26,457,408.0,2.93,1.341,0.248,4.24,3.78,1.12,0.0,0.0
allenjo02,142,75,352,109,17,18,5851.0,1849,813,104,1070,776.0,3.75,1.3459999999999999,0.24600000000000002,4.94,3.58,1.38,0.00398406374501992,0.0
allenll01,8,25,159,0,0,22,892.0,291,155,19,194,225.0,4.69,1.735,0.255,5.87,6.81,0.86,0.0,0.0
allenne01,58,70,434,7,6,75,2965.0,985,426,73,611,494.0,3.88,1.496,0.262,5.56,4.5,1.24,0.0,0.0
allisma01,9,21,45,17,1,1,740.0,247,87,4,57,78.0,3.17,1.318,0.271,2.08,2.85,0.73,0.0,0.0
almanar01,14,13,254,0,0,2,644.0,189,115,34,232,155.0,4.82,1.6019999999999999,0.243,9.73,6.5,1.5,0.0,0.0
almanca01,13,13,210,0,0,0,717.0,252,128,35,170,107.0,4.82,1.5019999999999998,0.27399999999999997,6.4,4.03,1.59,0.0,0.0
almoned01,0,0,12,0,0,0,34.0,21,14,3,7,6.0,11.12,2.3819999999999997,0.42,5.56,4.76,1.17,0.0,0.0
almonhe01,1,4,50,0,0,0,155.0,63,36,6,40,37.0,6.27,1.935,0.312,6.97,6.45,1.08,0.0,0.0
alomalu01,18,3,116,1,1,15,706.0,212,90,21,115,115.0,3.44,1.39,0.239,4.4,4.4,1.0,0.0,0.0
alstoga01,1,0,6,0,0,0,18.0,9,6,1,5,4.0,9.0,2.167,0.34600000000000003,7.5,6.0,1.25,0.0,0.0
altampo01,7,4,65,0,0,2,275.0,87,41,13,57,39.0,4.03,1.375,0.251,5.6,3.83,1.46,0.0,0.0
altener01,0,1,14,0,0,0,69.0,40,23,2,4,10.0,9.0,2.174,0.392,1.57,3.91,0.4,0.0,0.0
altroni01,83,75,218,128,16,7,4542.0,1455,445,17,425,294.0,2.65,1.155,0.46399999999999997,2.53,1.75,1.45,0.07518796992481203,0.0
alvarab01,0,1,4,0,0,0,31.0,19,13,5,5,7.0,11.32,2.516,0.413,4.35,6.1,0.71,0.0,0.0
alvarhe01,27,34,92,5,5,0,1689.0,596,238,54,296,158.0,3.8,1.339,0.275,4.73,2.53,1.87,0.0,0.0
alvarjo01,8,9,98,0,0,5,487.0,140,54,12,134,101.0,2.99,1.485,0.239,7.43,5.6,1.33,0.0,0.0
alvarjo02,5,8,80,0,0,0,319.0,101,51,12,91,51.0,4.32,1.429,0.251,7.7,4.32,1.78,0.0,0.0
alvarta01,3,6,19,0,0,0,175.0,65,35,2,26,31.0,5.4,1.646,0.273,4.01,4.78,0.84,0.0,0.0
alvarvi01,0,2,9,0,0,0,48.0,18,13,2,10,9.0,7.31,1.6880000000000002,0.295,5.62,5.06,1.11,0.0,0.0
alvarwi01,102,92,355,12,5,4,5243.0,1624,769,190,1330,884.0,3.96,1.435,0.24600000000000002,6.85,4.55,1.5,0.0,0.0
amesre01,183,167,533,209,26,36,9594.0,2896,934,42,1702,1098.0,2.63,1.249,0.242,4.79,3.09,1.55,0.0,0.0
amoledo01,4,10,18,10,0,0,358.0,150,63,0,30,51.0,4.75,1.6840000000000002,-2.9410000000000003,2.26,3.85,0.59,0.0,0.0
amorvi01,1,3,13,1,0,0,100.0,50,21,2,12,17.0,5.67,2.01,0.34700000000000003,3.24,4.59,0.71,0.0,0.0
anckewa01,0,0,4,0,0,0,53.0,19,7,1,4,20.0,3.57,2.208,0.27899999999999997,2.04,10.19,0.2,0.0,0.0
anderal02,49,54,148,15,3,0,2456.0,901,374,87,339,248.0,4.11,1.4040000000000001,0.27899999999999997,3.73,2.73,1.37,0.0,0.0
anderbi01,0,0,2,0,0,0,8.0,5,3,0,1,2.0,10.12,2.625,0.41700000000000004,3.38,6.75,0.5,0.0,0.0
anderbo01,36,46,246,15,1,13,2522.0,858,398,80,502,377.0,4.26,1.469,0.263,5.37,4.04,1.33,0.0,0.0
anderbr02,82,83,291,12,4,1,4641.0,1743,814,264,723,388.0,4.74,1.3780000000000001,0.287,4.21,2.26,1.86,0.0,0.0
anderbr04,37,41,123,3,1,3,2023.0,696,279,59,502,210.0,3.72,1.344,0.26899999999999996,6.7,2.8,2.39,0.0,0.0
anderch01,15,13,48,0,0,0,801.0,275,124,34,216,93.0,4.18,1.3780000000000001,0.271,7.28,3.13,2.32,0.0,0.0
anderco01,7,3,15,1,0,0,274.0,77,31,9,44,26.0,3.05,1.128,0.231,4.34,2.56,1.69,0.0,0.0
andercr01,7,23,82,2,0,5,577.0,226,109,21,94,89.0,5.1,1.6380000000000001,0.281,4.4,4.16,1.06,0.0,0.0
anderda01,3,13,21,15,0,0,451.0,177,91,4,56,81.0,5.45,1.716,0.35,3.35,4.85,0.69,0.0,0.0
anderfr01,53,57,178,62,11,8,2959.0,912,313,22,514,262.0,2.86,1.19,0.245,4.69,2.39,1.96,0.0,0.0
anderji02,25,47,122,3,0,1,1724.0,672,346,58,241,290.0,5.42,1.6740000000000002,0.298,3.77,4.54,0.83,0.0,0.0
anderjo02,0,0,24,0,0,1,134.0,64,32,6,19,18.0,6.45,1.8359999999999999,0.332,3.83,3.63,1.06,0.0,0.0
anderla02,40,39,699,0,0,49,2986.0,932,348,58,758,392.0,3.15,1.33,0.247,6.85,3.54,1.93,0.0,0.0
andermi02,0,0,3,0,0,0,16.0,12,11,3,4,3.0,18.56,2.812,0.444,6.75,5.06,1.33,0.0,0.0
anderre01,5,8,36,3,0,0,410.0,150,66,7,40,73.0,4.35,1.632,0.281,2.63,4.81,0.55,0.0,0.0
anderri02,4,4,28,0,0,1,290.0,112,51,9,42,38.0,4.75,1.5519999999999998,0.289,3.91,3.54,1.11,0.0,0.0
andersc01,1,2,18,0,0,0,164.0,58,33,4,28,25.0,5.43,1.518,0.271,4.61,4.12,1.12,0.0,0.0
anderva01,9,20,35,22,0,0,719.0,339,164,13,41,118.0,6.16,1.9069999999999998,-5.297000000000001,1.54,4.43,0.35,0.0,0.0
anderwa01,1,0,17,0,0,0,158.0,45,19,0,20,31.0,3.25,1.443,0.203,3.42,5.3,0.65,0.0,0.0
anderwi01,0,0,7,0,0,0,52.0,16,9,0,11,18.0,4.67,1.962,0.258,5.71,9.35,0.61,0.0,0.0
andrecl01,1,2,8,0,0,0,62.0,34,23,6,12,9.0,10.02,2.081,0.374,5.23,3.92,1.33,0.0,0.0
andreiv01,50,59,249,43,2,8,3123.0,1151,479,59,257,346.0,4.14,1.4380000000000002,0.27399999999999997,2.22,2.99,0.74,0.0,0.0
andrejo01,0,1,22,0,0,1,135.0,45,29,7,19,33.0,5.8,1.733,0.259,3.8,6.6,0.58,0.0,0.0
andrejo02,1,1,16,0,0,0,55.0,16,9,3,5,12.0,4.42,1.527,0.235,2.45,5.89,0.42,0.0,0.0
andrena01,41,54,127,50,5,2,2320.0,798,297,40,216,245.0,3.46,1.349,0.261,2.51,2.85,0.88,0.0,0.0
andrima01,3,5,25,0,0,2,197.0,69,30,8,49,21.0,4.11,1.371,0.268,6.72,2.88,2.33,0.0,0.0
andujjo01,127,118,405,68,19,9,6459.0,2016,857,155,1032,847.0,3.58,1.33,0.247,4.31,3.54,1.22,0.0,0.0
angelno01,2,1,28,0,0,3,59.0,15,6,1,19,21.0,2.75,1.831,0.221,8.69,9.61,0.9,0.0,0.0
antonjo02,126,110,377,102,25,21,5977.0,1870,739,185,1162,770.0,3.34,1.325,0.244,5.25,3.48,1.51,0.0,0.0
apodabo01,16,25,184,1,0,26,1084.0,312,114,22,197,178.0,2.84,1.3559999999999999,0.235,4.91,4.43,1.11,0.0,0.0
