player_id,seasons_played,All-Star,TripleCrown,MVP,CYA,3000H,500HR,1500RBI,3000K,300W,300SV,w,l,g,cg,sho,sv,ipouts,h,er,hr,so,BB,ERA,WHIP,BAA,K/9,BB/9,K/BB,inducted
seaveto01,22.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,311,205,656,231,61,1,14348.0,3971,1521,380,3640,1582.0,2.86,1.161,0.223,6.85,2.98,2.3,1.0
ryanno01,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,324,292,807,222,61,3,16158.0,3923,1911,321,5714,3031.0,3.19,1.291,0.201,9.55,5.06,1.89,1.0
johnsra05,24.0,10.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,303,166,618,100,37,2,12406.0,3346,1513,411,4875,1724.0,3.29,1.226,0.22,10.61,3.75,2.83,1.0
maddugr01,25.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,355,227,744,109,35,0,15025.0,4726,1756,353,3371,1313.0,3.16,1.206,0.25,6.06,2.36,2.57,1.0
carltst01,27.0,10.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,329,244,741,254,55,2,15652.0,4672,1864,414,4136,2036.0,3.22,1.286,0.23800000000000002,7.13,3.51,2.03,1.0
fellebo01,18.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266,162,570,279,44,21,11481.0,3271,1384,224,2581,1830.0,3.25,1.3330000000000002,0.228,6.07,4.3,1.41,1.0
palmeji01,19.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,268,152,558,211,53,4,11844.0,3349,1253,303,2212,1386.0,2.86,1.199,0.22699999999999998,5.04,3.16,1.6,1.0
glavito02,22.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,305,203,682,56,25,0,13240.0,4298,1734,356,2607,1711.0,3.54,1.3619999999999999,0.256,5.32,3.49,1.52,1.0
martipe02,18.0,8.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,219,100,476,46,17,3,8482.0,2221,919,239,3154,931.0,2.93,1.115,0.214,10.04,2.96,3.39,1.0
mathech01,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,373,188,635,434,79,28,14342.0,4218,1133,91,2502,903.0,2.13,1.071,0.231,4.71,1.7,2.77,1.0
hubbeca01,16.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253,154,535,260,36,33,10771.0,3461,1188,227,1677,778.0,2.98,1.181,0.247,4.2,1.95,2.16,1.0
