player_id,name,seasons_played,All-Star,TripleCrown,MVP,CYA,3000H,500HR,1500RBI,3000K,300W,300SV
griffke02,Ken Griffey,23.0,13.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hoffmtr01,Trevor Hoffman,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
wagnebi02,Billy Wagner,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
edmonji01,Jim Edmonds,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
francju02,Juan Francisco,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sweenmi01,Mike Sweeney,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kendaja01,Jason Kendall,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eckstda01,David Eckstein,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anderga01,Garret Anderson,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
preslal01,Alex Presley,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oswalro01,Roy Oswalt,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pressry01,Ryan Pressly,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
priceda01,David Price,10.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
osunaro01,Roberto Osuna,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ottavad01,Adam Ottavino,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pricebr01,Bryan Price,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outmajo01,Josh Outman,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overbly01,Lyle Overbay,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pradoma01,Martin Prado,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oteroda01,Dan Otero,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quackke01,Kevin Quackenbush,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
omallsh01,Shawn O'Malley,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
putzjj01,J. J. Putz,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oltmi01,Mike Olt,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olsonty01,Tyler Olson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olsensc01,Scott Olsen,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olsonga01,Garrett Olson,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
omogrbr01,Brian Omogrosso,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ondrulo01,Logan Ondrusek,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purceda01,David Purcey,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
puntoni01,Nick Punto,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
putnaza01,Zach Putnam,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
putkolu01,Luke Putkonen,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olmosed01,Edgar Olmos,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olmedra01,Ray Olmedo,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
